scenario,mode,epsilon,seed,policy,H_malicious_hops,delta_undetected_s,delta_total_s,delta_evade_worst_s,floor_composed,floor_composed_worst,floor_autonomy_only,floor_network_only,floor_composed__kinematic_v15,floor_autonomy_only__kinematic_v15,floor_composed__empirical_receiver,floor_autonomy_only__empirical_receiver,floor_composed__empirical_ekf,floor_autonomy_only__empirical_ekf
1,low,1.5,37,AODV,2,0.0,8.137,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,37,DSDV,2,0.0,8.137,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,37,DSR,2,0.0,8.137,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,37,OLSR,2,0.0,8.137,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,38,AODV,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,38,DSDV,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,38,DSR,2,0.0,68.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,38,OLSR,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,39,AODV,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,39,DSDV,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,39,DSR,2,0.0,68.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,39,OLSR,2,0.0,8.435,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,low,1.5,40,AODV,2,0.0,67.253,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
